"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 08:02:14 GMT 2023","Tue Apr 18 08:02:18 GMT 2023","3536","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Tue Apr 18 08:02:00 GMT 2023","Tue Apr 18 08:02:02 GMT 2023","2261","","main.spec.ts","","","","Products id",""
"passed","Tue Apr 18 08:01:50 GMT 2023","Tue Apr 18 08:01:52 GMT 2023","1514","","main.spec.ts","","","","Free Theme Create",""
"passed","Tue Apr 18 08:02:32 GMT 2023","Tue Apr 18 08:02:44 GMT 2023","12037","","main.spec.ts","","","","Prodcut Delete",""
"passed","Tue Apr 18 08:01:38 GMT 2023","Tue Apr 18 08:01:39 GMT 2023","921","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Tue Apr 18 08:01:39 GMT 2023","Tue Apr 18 08:01:42 GMT 2023","2638","","main.spec.ts","","","","Free Plugin Create",""
"passed","Tue Apr 18 08:02:10 GMT 2023","Tue Apr 18 08:02:11 GMT 2023","896","","main.spec.ts","","","","Product List",""
"passed","Tue Apr 18 08:01:49 GMT 2023","Tue Apr 18 08:01:50 GMT 2023","915","","main.spec.ts","","","","Get all the Themes List",""
"passed","Tue Apr 18 08:01:52 GMT 2023","Tue Apr 18 08:01:55 GMT 2023","2590","","main.spec.ts","","","","Premium Theme Create",""
"passed","Tue Apr 18 08:02:11 GMT 2023","Tue Apr 18 08:02:14 GMT 2023","3445","","main.spec.ts","","","","License Mapping",""
"passed","Tue Apr 18 08:02:07 GMT 2023","Tue Apr 18 08:02:10 GMT 2023","2522","","main.spec.ts","","","","Bundle Create & Update",""
"passed","Tue Apr 18 08:02:18 GMT 2023","Tue Apr 18 08:02:32 GMT 2023","14063","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Tue Apr 18 08:01:55 GMT 2023","Tue Apr 18 08:02:00 GMT 2023","5275","","main.spec.ts","","","","Theme Update",""
"passed","Tue Apr 18 08:01:37 GMT 2023","Tue Apr 18 08:01:38 GMT 2023","1051","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Tue Apr 18 08:01:36 GMT 2023","Tue Apr 18 08:01:37 GMT 2023","1115","","main.spec.ts","","","","Login",""
"passed","Tue Apr 18 08:01:42 GMT 2023","Tue Apr 18 08:01:44 GMT 2023","2537","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Tue Apr 18 08:02:02 GMT 2023","Tue Apr 18 08:02:07 GMT 2023","5206","","main.spec.ts","","","","Release Create",""
"passed","Tue Apr 18 08:01:44 GMT 2023","Tue Apr 18 08:01:49 GMT 2023","5365","","main.spec.ts","","","","Plugin Update",""
